ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Rated Breaking Capacity (A)
A1,"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,1.6A,Ceramic,NA,0.755J,Low,250V,NA,4W,Holder,INLINE/HOLDER,2,1500A
A2,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,6.3A,Ceramic,e2,36.7J,Low,250VAC,NA,NA,Holder,INLINE/HOLDER,2,1500A
A3,"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,8A,Ceramic,e2,81.9J,Low,250V,NA,4W,Holder,INLINE/HOLDER,2,1500A
A4,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,10A,Ceramic,e2,141J,Low,250VAC,NA,NA,Holder,INLINE/HOLDER,2,1500A
A5,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,12.5A,Ceramic,NA,203J,Low,250V,NA,6.9(Typ)W,Holder,INLINE/HOLDER,2,500A
A6,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,12.5A,Ceramic,NA,203J,Low,250V,NA,6.9(Typ)W,Holder,INLINE/HOLDER,2,500A
A7,"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1000 A,Industrial Electronic,VERY FAST,NA,31.8mm,6.35mm,20A,Glass,NA,846J,Low,250V,NA,11.5(Typ)W,Holder,INLINE/HOLDER,2,1000A
A8,"Slow Blow, Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply, 1.25A, Ceramic, 5 X 20mm, 5.4W",Slow Blow,NA,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,NA,NA,5,20,1.25A,Ceramic,NA,NA,NA,NA,NA,5.4W,NA,NA,2,NA
A9,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,1A,Ceramic,NA,1.1J,Low,250V,300V,2.5W,Holder,INLINE/HOLDER,2,1500A
A10,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,2A,Ceramic,NA,9.2J,Low,250VAC,300VDC,NA,Holder,INLINE/HOLDER,2,1500A
A11,"Indicator Red Slow Blow Movement 2A 250V Axial 5 X 20mm Ceramic T/R cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Through Hole",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Primary Protection on PCB|Power Supply Adapter for laptop|Switching Mode Power Supply,TIME LAG,NA,22.5mm,5.4mm,2A,Ceramic,e3,9.2J,Low,250V,300V,2.5W,Through Hole,THROUGH HOLE,2,1500A
A12,"Red Indicator, 5 X 20 mm Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,2.5A,NA,NA,11.7J,Low,250VAC,300VDC,NA,NA,INLINE/HOLDER,2,1500A
A13,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,2.5A,Ceramic,e2,11.7J,Low,250V,300V,2.5W,Holder,INLINE/HOLDER,2,1500A
A14,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,3.15A,Ceramic,e2,33.7J,Low,250V,300V,4W,Holder,INLINE/HOLDER,2,1500A
A15,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,4A,Ceramic,NA,62.4J,Low,250VAC,150VDC,NA,Holder,INLINE/HOLDER,2,1500A
A16,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,5A,NA,NA,97.5J,Low,250VAC,150VDC,NA,Holder,INLINE/HOLDER,2,1500A
A17,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,6.3A,Ceramic,e2,171J,Low,250V,150V,4W,Holder,INLINE/HOLDER,2,1500A
A18,"Slow Blow, Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply, 8A, Ceramic, 5 X 20mm, 250V, 150V, 4W, Holder, 2.0, 5.2mm, 20mm",Slow Blow,NA,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,NA,NA,5,20,8A,Ceramic,NA,NA,NA,250V,150V,4W,Holder,NA,2,NA
A19,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk KC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,8A,Ceramic,e2,268J,Low,250V,150V,4W,Holder,INLINE/HOLDER,2,1000A
A20,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 1500 A,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,16A,Ceramic,e2,1500J,Low,250V,125VDC,4(Typ)W,Holder,INLINE/HOLDER,2,500A
A21,"Slow Blow, Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply, 2.5A, Ceramic, 5 X 20mm, 250V",Slow Blow,NA,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,NA,NA,5,20,2.5A,Ceramic,NA,NA,NA,250V,NA,NA,NA,NA,2,NA
A22,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 1500A (IR), H, Inline/holder",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,TIME LAG,NA,31.8mm,6.35mm,6.3A,Glass,NA,224J,Low,250V,NA,1.9(Typ)W,Holder,INLINE/HOLDER,2,1500A
A23,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 16A, 250VAC, 1000A (IR), H, Inline/holder",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 1000 A,Motor Circuit,TIME LAG,NA,31.8mm,6.35mm,16A,Glass,e2,1690J,Low,250V,NA,3.8(Typ)W,Holder,INLINE/HOLDER,2,1000A
A24,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,1A,Ceramic,e4,1.1J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A25,"Indicators PN Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,1A,NA,e4,1.1J,Low,250VAC,300VDC,NA,NA,SURFACE MOUNT,2,1500A
A26,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,1A,Ceramic,e4,1.1J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A27,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,1.25A,Ceramic,e4,1.86J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A28,"Indicators PN Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,1.25A,NA,e4,1.86J,Low,250VAC,300VDC,NA,NA,SURFACE MOUNT,2,1500A
A29,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,1.25A,Ceramic,e4,1.86J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A30,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,1.6A,Ceramic,e4,4.35J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A31,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,1.6A,Ceramic,e4,4.35J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A32,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,2A,Ceramic,e4,9.2J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A33,"Indicators PN Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,2A,NA,e4,9.2J,Low,250VAC,300VDC,NA,Holder,SURFACE MOUNT,2,1500A
A34,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,2A,Ceramic,e4,9.2J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A35,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,2.5A,Ceramic,e4,11.7J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A36,"Indicators PN Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,2.5A,NA,e4,11.7J,Low,250VAC,300VDC,NA,NA,SURFACE MOUNT,2,1500A
A37,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,2.5A,Ceramic,e4,11.7J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2,1500A
A38,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,3.15A,Ceramic,e4,33.7J,Low,250V,300V,4W,Holder,SURFACE MOUNT,2,1500A
A39,"Indicators PN Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,3.15A,NA,e4,33.7J,Low,250VAC,300VDC,NA,NA,SURFACE MOUNT,2,1500A
A40,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,3.15A,Ceramic,e4,33.7J,Low,250V,300V,4W,Holder,SURFACE MOUNT,2,1500A
A41,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,4A,Ceramic,e4,62.4J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1500A
A42,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,4A,Ceramic,e4,62.4J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1500A
A43,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,4A,Ceramic,e4,62.4J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1500A
A44,"Indicator Red Slow Blow Movement 5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,5A,Ceramic,e4,97.5J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1500A
A45,"Indicators PN Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,5A,NA,e4,97.5J,Low,250VAC,150VDC,NA,NA,SURFACE MOUNT,2,1500A
A46,"Indicator Red Slow Blow Movement 5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,5A,Ceramic,e4,97.5J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1500A
A47,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,6.3A,Ceramic,e4,171J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1500A
A48,"Indicators PN Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,6.3A,NA,e4,171J,Low,250VAC,150VDC,NA,NA,SURFACE MOUNT,2,1500A
A49,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,6.3A,Ceramic,e4,171J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1500A
A50,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,8A,Ceramic,e4,268J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1000A
A51,"Indicators PN Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,8A,NA,e4,268J,Low,250VAC,150VDC,NA,NA,SURFACE MOUNT,2,1000A
A52,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,8A,Ceramic,e4,268J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1000A
A53,"Indicator Red Slow Blow Movement 10A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 10A, 250VAC, 150VDC, 1000A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,10A,Ceramic,e4,400J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1000A
A54,"Indicators PN Electric Indicator, Time Lag Blow, 10A, 250VAC, 150VDC, 1000A (IR), Surface Mount",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,10A,NA,e4,400J,Low,250VAC,150VDC,NA,NA,SURFACE MOUNT,2,1000A
A55,"Indicator Red Slow Blow Movement 10A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 10A, 250VAC, 150VDC, 1000A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,10A,Ceramic,e2,400J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2,1000A
A56,"Indicator Red Slow Blow Movement 12.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 12.5A, 250VAC, 125VDC, 500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,12.5A,Ceramic,e4,563J,Low,250V,125V,NA,Holder,SURFACE MOUNT,2,500A
A57,"Indicator Red Slow Blow Movement 12.5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 12.5A, 250VAC, 125VDC, 500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,12.5A,Ceramic,e4,563J,Low,250V,125V,NA,Holder,SURFACE MOUNT,2,500A
A58,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,16A,Ceramic,e4,1272J,Low,250V,125V,NA,Holder,SURFACE MOUNT,2,500A
A59,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,16A,Ceramic,e4,1272J,Low,250V,125V,NA,Holder,SURFACE MOUNT,2,500A
A60,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 1500 A,Motor Circuit,TIME LAG,NA,20mm,5.2mm,16A,Ceramic,e2,1272J,Low,250V,125V,NA,Holder,SURFACE MOUNT,2,500A
A61,"Fast, Motor Circuit, 1A, Glass, 5 X 15mm, 250V",Fast,NA,Motor Circuit,NA,NA,5,15,1A,Glass,NA,NA,NA,250V,NA,NA,NA,NA,2,NA
A62,"Fast, Motor Circuit, 2A, Glass, 5 X 15mm, 250V",Fast,NA,Motor Circuit,NA,NA,5,15,2A,Glass,NA,NA,NA,250V,NA,NA,NA,NA,2,NA
A63,"Indicator Holder 20A 500VAC Solder Lug Panel Mount Box Indicator ACCESSORY, Indicator HOLDER",NA,NA,NA,NA,NA,NA,NA,20@(CSA/UL)|10@VDEA,NA,NA,NA,Low,500VAC,NA,NA,Panel Mount,NA,2,NA
A64,Indicator Holder 16A 250VAC Solder Lug Through Hole Box ROTARY SWITCH-,NA,NA,NA,NA,NA,NA,NA,16@(CSA/UL)|10@VDEA,NA,NA,NA,Low,250VAC,NA,NA,Through Hole,NA,2,NA
A65,Indicator Holder 16A 250VAC Solder Lug Through Hole Box ROTARY SWITCH-,NA,NA,NA,NA,NA,NA,NA,16@(CSA/UL)|10@VDEA,NA,NA,NA,Low,250VAC,NA,NA,Through Hole,NA,2,NA
A66,Indicator Holder 20A 250VAC Solder Lug Panel Mount Box Indicator ACCESSORY,NA,NA,NA,NA,NA,NA,NA,20@UL|10@VDEA,NA,NA,NA,Low,250VAC,NA,NA,Panel Mount,NA,2,NA
A67,Indicator Holder 20A 250VAC Quick Connect Panel Mount Box Indicator ACCESSORY,NA,NA,NA,NA,NA,NA,NA,20@UL|10@VDEA,NA,NA,NA,Low,250VAC,NA,NA,Panel Mount,NA,2,NA
A68,Indicator Holder 30A 500VAC Through Hole Pin Box Indicator ACCESSORY,NA,NA,NA,NA,NA,NA,NA,30@(CSA/UL)|16@VDEA,NA,NA,NA,Low,500VAC,NA,NA,Through Hole,NA,2,NA
